energy	As(10A)_mp11	CdAs_mp7373	TeAs_mp10051	CdAs2-mp471	Te3As2-mp484_merged	Te3As2_mp484_As3	Te3As2_mp484_As4	Cd3As2_(cod945)_merged	Cd3As2_COD945_As4	Cd3As2_COD945_As5	Cd3As2_COD945_As6	As_mp-1238842_merged	As_mp-1238842_As1	As_mp-1238842_As0	As_mp-1182332	As_mp-1096826	As_mp-158	As_mp11	As_mp10	CdAs3_mp-1183659	Cd3As_mp-1183587	Te3As2_mp-9897	TeAs2_mp-1217320	As2Se_mp-1228838	As2Se3_mp-909_merged	As2Se3_mp-909_As0	As2Se3_mp-909_As1	As2Se3_mp-1078443_merged	As2Se3_mp-1078443_As0	As2Se3_mp-1078443_As1	As4Se3_mp-1194350_merged	As4Se3_mp-1194350_As2	As4Se3_mp-1194350_As1	As4Se3_mp-1194350_As0	AsCl3_cod4317526	AsCl3_mp-23280_symmetrized	AsCl3O_mp-29863_symmetrized																																																												
11867.995	1.1648727	1.1598427	0.76366559	1.2031756	0.40894086	0.49579994	0.33375148	1.3158498	1.3092826	1.351446	1.2978087	1.3220922	1.0915505	1.4386153	0.85530765	1.0789841	1.1091746	1.1648727	1.4708979	1.1076474	0.70115421	0.43376967	0.34287644	0.69263705	0.78434748	0.77809452	0.79060698	0.52100218	0.59323599	0.45404385	1.0675885	1.0389196	1.1904496	1.0237922	1.3486152	1.5072899	1.9958395																																																												
11868.622	1.2874924	1.2930877	0.73816004	1.2622462	0.45506007	0.55749397	0.36589635	1.5365996	1.5275713	1.5769024	1.5201822	1.4054481	1.1874801	1.5156162	1.0161644	1.1960334	1.1608619	1.2874924	1.6089015	1.1047653	0.81965425	0.44216827	0.53672198	0.92897484	0.9362732	0.94480079	0.9277364	0.55758105	0.63593122	0.48490457	1.2152284	1.1688231	1.3531284	1.1723125	1.3907847	1.6593288	2.3223726																																																												
11869.249	1.3176392	1.3188151	0.64922688	1.2139752	0.50001987	0.61250357	0.40180244	1.5923847	1.5813604	1.6322714	1.5791874	1.341426	1.1828914	1.4215546	1.1497611	1.193181	1.1376736	1.3176392	1.610318	0.97236393	0.90925852	0.44180506	0.74133457	1.0558449	1.0467159	1.0625922	1.0308225	0.58998432	0.67779014	0.50844468	1.2868319	1.2362891	1.4118409	1.2511034	1.4230665	1.7581152	2.5246488																																																												
11869.875	1.2790261	1.303793	0.5551515	1.1644686	0.55978795	0.67408787	0.45987246	1.5553804	1.5416133	1.5960301	1.5457058	1.1808877	1.0922043	1.2257111	1.2704134	1.0887171	1.1049633	1.2790261	1.5133544	0.81605102	0.96711978	0.4633977	0.88935028	1.0731821	1.1143406	1.1242908	1.1043797	0.64059256	0.74063216	0.54769502	1.3067203	1.2650292	1.3807963	1.2912898	1.4762886	1.8199468	2.6223773																																																												
11870.502	1.1885676	1.2782481	0.49580515	1.1681712	0.63517074	0.74098824	0.54274782	1.4792367	1.4624947	1.5207956	1.4744419	0.9783371	0.94376435	0.99581126	1.3652799	0.92120755	1.0916509	1.1885676	1.3560623	0.71559707	0.97084216	0.51285571	0.97513145	1.0362431	1.1465399	1.1475882	1.1454904	0.70959538	0.82130155	0.60586565	1.2921258	1.2692693	1.2888258	1.3061895	1.5308514	1.8393675	2.5759009																																																												
11871.129	1.0599965	1.2457972	0.48401505	1.2175127	0.70990033	0.80068694	0.63088467	1.375687	1.357794	1.4131342	1.3771107	0.81123113	0.81061676	0.81154164	1.4064508	0.74146453	1.1015097	1.0599965	1.176856	0.68690783	0.91331641	0.57483597	1.0086781	0.9822831	1.1570601	1.1580063	1.156113	0.78717366	0.90757286	0.6754048	1.25061	1.2547072	1.1717829	1.2893688	1.5760912	1.7951507	2.3720485																																																												
11871.755	0.92976455	1.2072395	0.51141582	1.2662196	0.76181976	0.84000544	0.69405088	1.2498296	1.2324607	1.2792177	1.257564	0.72757854	0.74839634	0.71705655	1.391151	0.59891191	1.1285689	0.92976455	1.0061176	0.70984427	0.83892022	0.62752867	1.002597	0.93482312	1.1561995	1.165831	1.1465577	0.85949671	0.98329979	0.74459862	1.1903772	1.2209159	1.058505	1.242304	1.6054308	1.6755776	2.0872184																																																												
11872.382	0.83798947	1.1684621	0.56741813	1.2702668	0.78725986	0.86103456	0.72298938	1.1263486	1.1101786	1.1484153	1.1383219	0.72291724	0.76166145	0.70333468	1.3480957	0.51433509	1.167017	0.83798947	0.85369576	0.75780123	0.78152837	0.66500854	0.97059134	0.90174813	1.1462829	1.1677602	1.1247827	0.91961391	1.0416862	0.80631241	1.1239256	1.1707955	0.96572142	1.1808836	1.6095063	1.5021181	1.808008																																																												
11872.764	0.81655393	1.1482894	0.60925056	1.2494797	0.79331009	0.86846638	0.72776914	1.0630298	1.047784	1.0819085	1.0758732	0.75605082	0.80865317	0.7294639	1.3235593	0.5011608	1.1936533	0.81655393	0.78762771	0.78317072	0.76029847	0.68283384	0.9459656	0.88925545	1.1324623	1.1581986	1.1066984	0.94515274	1.0653735	0.83360158	1.0874067	1.1374871	0.92853213	1.142691	1.5763019	1.3936427	1.6720712																																																												
11873.418	0.81872795	1.1268608	0.67378671	1.2091857	0.80032618	0.8765138	0.733791	0.99511164	0.98222341	1.0096301	1.0071938	0.82642507	0.90690295	0.78574899	1.300335	0.51615952	1.2372159	0.81872795	0.72214663	0.80462548	0.74402756	0.71253203	0.90597391	0.87684045	1.1015589	1.1279893	1.0751004	0.97661019	1.093544	0.86809838	1.0342761	1.0868256	0.88977416	1.0809881	1.4837286	1.2297893	1.4941959																																																												
